W,T,C,SCORE,SAME,GAPS,ALIGN_LEN,TIME
PARAMETR,W,,,,,,
5,0.001000,5,20,20,0,20,0.803000
6,0.001000,5,20,20,0,20,0.766000
7,0.001000,5,20,20,0,20,0.657000
8,0.001000,5,20,20,0,20,0.598000
9,0.001000,5,20,20,0,20,0.564000
10,0.001000,5,20,20,0,20,0.500000
11,0.001000,5,20,20,0,20,0.443000
12,0.001000,5,20,20,0,20,0.395000
13,0.001000,5,20,20,0,20,0.364000
14,0.001000,5,20,20,0,20,0.306000
15,0.001000,5,20,20,0,20,0.256000
16,0.001000,5,20,20,0,20,0.212000
17,0.001000,5,20,20,0,20,0.166000
18,0.001000,5,20,20,0,20,0.121000
19,0.001000,5,20,20,0,20,0.077000
20,0.001000,5,20,20,0,20,0.039000
21,0.001000,5,-1,-1,-1,-1,0.000000
22,0.001000,5,-1,-1,-1,-1,0.001000
23,0.001000,5,-1,-1,-1,-1,0.001000
24,0.001000,5,-1,-1,-1,-1,0.001000
PARAMETR,T,,,,,,
11,0.001000,5,20,20,0,20,0.466000
11,0.002000,5,20,20,0,20,0.448000
11,0.003000,5,20,20,0,20,0.443000
11,0.004000,5,20,20,0,20,0.447000
11,0.005000,5,20,20,0,20,0.445000
11,0.006000,5,20,20,0,20,0.443000
11,0.007000,5,20,20,0,20,0.449000
11,0.008000,5,20,20,0,20,0.436000
11,0.009000,5,20,20,0,20,0.457000
11,0.010000,5,20,20,0,20,0.455000
11,0.011000,5,20,20,0,20,0.451000
11,0.012000,5,20,20,0,20,0.453000
11,0.013000,5,20,20,0,20,0.475000
11,0.014000,5,20,20,0,20,0.455000
11,0.015000,5,20,20,0,20,0.438000
11,0.016000,5,20,20,0,20,0.448000
11,0.017000,5,20,20,0,20,0.500000
11,0.018000,5,20,20,0,20,0.482000
11,0.019000,5,20,20,0,20,0.444000
11,0.020000,5,20,20,0,20,0.438000
11,0.021000,5,20,20,0,20,0.441000
11,0.022000,5,20,20,0,20,0.434000
11,0.023000,5,20,20,0,20,0.444000
11,0.024000,5,20,20,0,20,0.443000
11,0.025000,5,20,20,0,20,0.443000
11,0.026000,5,20,20,0,20,0.437000
11,0.027000,5,20,20,0,20,0.443000
11,0.028000,5,20,20,0,20,0.441000
11,0.029000,5,20,20,0,20,0.446000
11,0.030000,5,20,20,0,20,0.441000
11,0.031000,5,20,20,0,20,0.451000
11,0.032000,5,20,20,0,20,0.440000
11,0.033000,5,20,20,0,20,0.442000
11,0.034000,5,20,20,0,20,0.443000
11,0.035000,5,20,20,0,20,0.445000
11,0.036000,5,20,20,0,20,0.438000
11,0.037000,5,20,20,0,20,0.444000
11,0.038000,5,20,20,0,20,0.444000
11,0.039000,5,20,20,0,20,0.447000
11,0.040000,5,20,20,0,20,0.447000
11,0.041000,5,20,20,0,20,0.457000
11,0.042000,5,20,20,0,20,0.446000
11,0.043000,5,20,20,0,20,0.446000
11,0.044000,5,20,20,0,20,0.460000
11,0.045000,5,20,20,0,20,0.446000
11,0.046000,5,20,20,0,20,0.434000
11,0.047000,5,20,20,0,20,0.446000
11,0.048000,5,20,20,0,20,0.455000
11,0.049000,5,20,20,0,20,0.448000
PARAMETR,C,,,,,,
11,0.001000,2,20,20,0,20,0.452000
11,0.001000,3,20,20,0,20,0.445000
11,0.001000,4,20,20,0,20,0.458000
11,0.001000,5,20,20,0,20,0.454000
11,0.001000,6,20,20,0,20,0.452000
11,0.001000,7,20,20,0,20,0.444000
11,0.001000,8,20,20,0,20,0.444000
11,0.001000,9,20,20,0,20,0.441000
11,0.001000,10,20,20,0,20,0.445000
11,0.001000,11,20,20,0,20,0.452000
11,0.001000,12,20,20,0,20,0.455000
11,0.001000,13,20,20,0,20,0.458000
11,0.001000,14,20,20,0,20,0.499000
11,0.001000,15,20,20,0,20,0.459000
11,0.001000,16,20,20,0,20,0.467000
11,0.001000,17,20,20,0,20,0.466000
11,0.001000,18,20,20,0,20,0.472000
11,0.001000,19,20,20,0,20,0.471000
