PATTERN_LEN,SEQ_LEN,KMP_TIME,BM_TIME
10000,50000,0.001000,0.750000
10000,100000,0.001000,0.000000
10000,150000,0.001000,0.000000
10000,200000,0.002000,0.000000
10000,250000,0.004000,4.460000
10000,300000,0.002000,0.000000
10000,350000,0.005000,6.389000
10000,400000,0.003000,0.000000
10000,450000,0.003000,0.001000
10000,500000,0.004000,0.001000
10000,550000,0.010000,10.107000
10000,600000,0.009000,11.078000
10000,650000,0.005000,0.001000
10000,700000,0.005000,0.000000
10000,750000,0.006000,0.001000
10000,800000,0.014000,14.721000
10000,850000,0.006000,0.001000
10000,900000,0.007000,0.001000
10000,950000,0.006000,0.001000
