PATTERN;SEQ;ALL_TIME;TAB_TIME
10000;500000;0,004;0,001
10000;1000000;0,007;0
10000;1500000;0,013;0
10000;2000000;0,014;0
10000;2500000;0,019;0
10000;3000000;0,021;0
10000;3500000;0,025;0
10000;4000000;0,027;0
10000;4500000;0,03;0
10000;5000000;0,034;0
10000;5500000;0,098;0
10000;6000000;0,042;0
10000;6500000;0,109;0,001
10000;7000000;0,05;0,001
10000;7500000;0,052;0
10000;8000000;0,144;0
10000;8500000;0,062;0
10000;9000000;0,064;0
10000;9500000;0,068;0
10000;10000000;0,07;0
10000;10500000;0,076;0,001
10000;11000000;0,182;0
10000;11500000;0,081;0
10000;12000000;0,086;0
10000;12500000;0,086;0
10000;13000000;0,234;0
10000;13500000;0,237;0,001
10000;14000000;0,1;0
10000;14500000;0,103;0
10000;15000000;0,108;0
10000;15500000;0,11;0
10000;16000000;0,114;0
10000;16500000;0,117;0
10000;17000000;0,291;0
10000;17500000;0,296;0,001
10000;18000000;0,13;0
10000;18500000;0,131;0
10000;19000000;0,13;0
10000;19500000;0,137;0
10000;20000000;0,144;0
10000;20500000;0,146;0
10000;21000000;0,146;0
10000;21500000;0,153;0
10000;22000000;0,156;0
10000;22500000;0,393;0
10000;23000000;0,169;0
10000;23500000;0,161;0
10000;24000000;0,167;0
10000;24500000;0,172;0
10000;25000000;0,177;0
10000;25500000;0,177;0
10000;26000000;0,188;0,001
10000;26500000;0,187;0
10000;27000000;0,192;0
10000;27500000;0,519;0
10000;28000000;0,197;0
10000;28500000;0,53;0,001
10000;29000000;0,213;0
10000;29500000;0,205;0
10000;30000000;0,214;0
10000;30500000;0,217;0,001
10000;31000000;0,547;0
10000;31500000;0,232;0,001
10000;32000000;0,547;0
10000;32500000;0,226;0
10000;33000000;0,565;0
10000;33500000;0,243;0,001
10000;34000000;0,236;0
10000;34500000;0,579;0,001
10000;35000000;0,258;0
10000;35500000;0,305;0,001
10000;36000000;0,65;0,001
10000;36500000;0,278;0,001
10000;37000000;0,28;0
10000;37500000;0,272;0
10000;38000000;0,277;0
10000;38500000;0,656;0
10000;39000000;0,283;0
10000;39500000;0,279;0,001
10000;40000000;0,669;0
10000;40500000;0,297;0,001
10000;41000000;0,763;0
10000;41500000;0,795;0
10000;42000000;0,292;0
10000;42500000;0,769;0,001
10000;43000000;0,311;0
10000;43500000;0,301;0
10000;44000000;0,315;0
10000;44500000;0,822;0
10000;45000000;0,323;0
10000;45500000;0,853;0,001
10000;46000000;0,894;0
10000;46500000;0,338;0
10000;47000000;0,863;0
10000;47500000;0,344;0
10000;48000000;0,34;0,001
10000;48500000;0,343;0
10000;49000000;0,848;0
10000;49500000;0,354;0
10000;50000000;0,861;0
10000;50500000;0,358;0,001
10000;51000000;0,363;0
10000;51500000;0,368;0
10000;52000000;0,379;0,001
10000;52500000;0,376;0
10000;53000000;0,934;0
10000;53500000;0,975;0
10000;54000000;0,409;0,001
10000;54500000;0,958;0
10000;55000000;0,941;0
10000;55500000;0,407;0
10000;56000000;0,396;0,001
10000;56500000;0,399;0
10000;57000000;0,406;0
10000;57500000;0,97;0
10000;58000000;0,427;0,001
10000;58500000;0,979;0,001
10000;59000000;1,002;0
10000;59500000;0,431;0,001
10000;60000000;0,429;0
10000;60500000;0,993;0
10000;61000000;1,117;0,001
10000;61500000;0,44;0
10000;62000000;0,441;0
10000;62500000;1,135;0
10000;63000000;0,445;0
10000;63500000;1,158;0,001
10000;64000000;0,457;0
10000;64500000;1,139;0,001
10000;65000000;0,459;0
10000;65500000;0,468;0
10000;66000000;0,463;0,001
10000;66500000;0,469;0,001
10000;67000000;0,482;0
10000;67500000;1,394;0
10000;68000000;0,487;0
10000;68500000;0,492;0
10000;69000000;0,485;0,001
10000;69500000;0,491;0
10000;70000000;1,275;0
10000;70500000;0,519;0
10000;71000000;0,523;0
10000;71500000;0,512;0,001
10000;72000000;1,268;0
10000;72500000;0,534;0
10000;73000000;0,523;0
10000;73500000;0,529;0
10000;74000000;1,297;0
10000;74500000;0,523;0
10000;75000000;0,534;0
10000;75500000;0,546;0,001
10000;76000000;0,542;0
10000;76500000;0,538;0
10000;77000000;1,301;0
10000;77500000;0,542;0
10000;78000000;0,537;0
10000;78500000;0,544;0
10000;79000000;0,56;0,001
10000;79500000;0,553;0,001
10000;80000000;0,568;0
10000;80500000;0,574;0,001
10000;81000000;0,577;0
10000;81500000;0,597;0
10000;82000000;0,583;0,001
10000;82500000;1,374;0,001
10000;83000000;0,584;0
10000;83500000;0,581;0
10000;84000000;1,392;0
10000;84500000;0,598;0
10000;85000000;0,589;0
10000;85500000;0,602;0
10000;86000000;0,609;0
10000;86500000;1,449;0
10000;87000000;0,62;0
10000;87500000;0,617;0
10000;88000000;0,613;0,001
10000;88500000;0,623;0
10000;89000000;0,626;0,001
10000;89500000;0,619;0
10000;90000000;1,453;0
10000;90500000;0,644;0,001
10000;91000000;0,626;0,001
10000;91500000;1,678;0
10000;92000000;0,658;0
10000;92500000;0,659;0
10000;93000000;1,758;0,001
10000;93500000;1,732;0
10000;94000000;0,68;0,001
10000;94500000;0,672;0
10000;95000000;0,657;0
10000;95500000;0,67;0
10000;96000000;1,786;0
10000;96500000;1,769;0
10000;97000000;0,695;0,001
10000;97500000;0,696;0
10000;98000000;0,692;0
10000;98500000;1,797;0
10000;99000000;0,692;0
10000;99500000;0,703;0
10000;100000000;1,792;0
10000;100500000;1,82;0
10000;101000000;1,816;0,001
10000;101500000;0,742;0
10000;102000000;0,733;0
10000;102500000;0,738;0,001
10000;103000000;1,842;0
10000;103500000;1,919;0,001
10000;104000000;0,757;0,001
10000;104500000;1,919;0
10000;105000000;0,747;0
10000;105500000;0,743;0
10000;106000000;1,923;0
10000;106500000;0,762;0
10000;107000000;1,905;0
10000;107500000;0,801;0,001
10000;108000000;0,771;0
10000;108500000;0,786;0
10000;109000000;0,796;0,001
10000;109500000;1,907;0,001
10000;110000000;0,797;0
10000;110500000;0,878;0,001
10000;111000000;0,773;0
10000;111500000;0,777;0,001
10000;112000000;0,776;0
10000;112500000;0,784;0,001
10000;113000000;0,798;0
10000;113500000;0,789;0
10000;114000000;0,793;0
10000;114500000;0,81;0,001
10000;115000000;0,817;0
10000;115500000;0,816;0
10000;116000000;0,83;0
10000;116500000;0,833;0
10000;117000000;0,817;0,001
10000;117500000;1,968;0
10000;118000000;0,83;0
10000;118500000;0,833;0
10000;119000000;0,843;0
10000;119500000;0,843;0,001
10000;120000000;0,869;0
10000;120500000;0,866;0
10000;121000000;0,941;0
10000;121500000;0,966;0
10000;122000000;0,953;0,001
10000;122500000;0,998;0,001
10000;123000000;2,506;0
10000;123500000;0,984;0
10000;124000000;0,947;0
10000;124500000;2,197;0
10000;125000000;2,13;0
10000;125500000;2,251;0
10000;126000000;2,222;0
10000;126500000;0,943;0
10000;127000000;0,903;0
10000;127500000;0,941;0
10000;128000000;0,924;0
10000;128500000;0,94;0
10000;129000000;0,928;0
10000;129500000;2,32;0
10000;130000000;2,231;0
10000;130500000;0,957;0
10000;131000000;0,926;0
10000;131500000;2,258;0,001
10000;132000000;2,247;0
10000;132500000;0,997;0
10000;133000000;0,959;0,001
10000;133500000;0,915;0
10000;134000000;0,945;0
10000;134500000;0,996;0,001
10000;135000000;0,981;0,001
10000;135500000;2,315;0
10000;136000000;1,092;0
10000;136500000;0,992;0
10000;137000000;2,724;0
10000;137500000;1,005;0,001
10000;138000000;0,974;0
10000;138500000;2,903;0
10000;139000000;1,136;0
10000;139500000;1,088;0
10000;140000000;1,117;0
10000;140500000;1,025;0
10000;141000000;0,996;0
10000;141500000;1,018;0
10000;142000000;1,024;0
10000;142500000;1,022;0
10000;143000000;1,026;0
10000;143500000;1,03;0
10000;144000000;1,016;0
10000;144500000;2,745;0
10000;145000000;1,055;0
10000;145500000;2,734;0
10000;146000000;1,06;0
10000;146500000;1,046;0
10000;147000000;1,042;0
10000;147500000;1,018;0
10000;148000000;1,042;0
10000;148500000;1,045;0
10000;149000000;1,05;0
10000;149500000;2,824;0
10000;150000000;1,077;0,001
10000;150500000;1,074;0,001
10000;151000000;1,092;0,001
10000;151500000;1,058;0
10000;152000000;1,082;0
10000;152500000;1,08;0
10000;153000000;1,102;0
10000;153500000;1,09;0
10000;154000000;1,101;0
10000;154500000;1,09;0
10000;155000000;1,1;0
10000;155500000;2,782;0
10000;156000000;1,133;0
10000;156500000;1,13;0
10000;157000000;1,117;0
10000;157500000;1,114;0
10000;158000000;1,11;0
10000;158500000;1,111;0,001
10000;159000000;1,125;0
10000;159500000;1,11;0
10000;160000000;2,82;0
10000;160500000;1,134;0
10000;161000000;1,152;0,001
10000;161500000;1,177;0
10000;162000000;1,161;0
10000;162500000;1,139;0
10000;163000000;1,126;0
10000;163500000;1,136;0
10000;164000000;1,185;0,001
10000;164500000;1,17;0
10000;165000000;1,174;0
10000;165500000;2,936;0
10000;166000000;1,195;0
10000;166500000;1,172;0
10000;167000000;3,065;0
10000;167500000;1,393;0
10000;168000000;3,21;0
10000;168500000;1,238;0
10000;169000000;1,188;0
10000;169500000;1,173;0
10000;170000000;1,197;0
10000;170500000;1,206;0
10000;171000000;1,199;0
10000;171500000;1,22;0
10000;172000000;1,207;0
10000;172500000;1,201;0
10000;173000000;1,212;0
10000;173500000;3,043;0
10000;174000000;1,283;0
10000;174500000;1,237;0
10000;175000000;1,296;0
10000;175500000;1,3;0,001
10000;176000000;1,252;0
10000;176500000;1,233;0
10000;177000000;2,978;0,001
10000;177500000;3,015;0
10000;178000000;3,174;0
10000;178500000;3,11;0
10000;179000000;1,306;0
10000;179500000;3,094;0
10000;180000000;1,302;0,001
10000;180500000;1,296;0
10000;181000000;1,299;0
10000;181500000;1,291;0
10000;182000000;1,27;0
10000;182500000;1,276;0
10000;183000000;1,269;0,001
10000;183500000;1,284;0
10000;184000000;1,321;0
10000;184500000;1,313;0,001
10000;185000000;3,12;0
10000;185500000;3,214;0,001
10000;186000000;1,287;0
10000;186500000;3,107;0
10000;187000000;1,325;0
10000;187500000;3,212;0
10000;188000000;1,348;0
10000;188500000;1,321;0
10000;189000000;3,192;0,001
10000;189500000;1,342;0,001
10000;190000000;1,408;0,001
10000;190500000;1,386;0
10000;191000000;1,356;0
10000;191500000;3,262;0
10000;192000000;1,387;0
10000;192500000;1,37;0
10000;193000000;1,401;0
10000;193500000;1,377;0
10000;194000000;3,262;0
10000;194500000;1,42;0
10000;195000000;1,341;0
10000;195500000;1,347;0
10000;196000000;1,353;0
10000;196500000;3,222;0,001
10000;197000000;1,422;0
10000;197500000;1,384;0
10000;198000000;3,25;0
10000;198500000;3,375;0
10000;199000000;1,451;0,001
10000;199500000;3,281;0
10000;200000000;1,418;0
10000;200500000;1,431;0
10000;201000000;1,416;0
10000;201500000;1,428;0
10000;202000000;3,316;0
10000;202500000;1,486;0
10000;203000000;3,38;0
10000;203500000;1,451;0
10000;204000000;1,443;0,001
10000;204500000;3,827;0,001
10000;205000000;1,474;0
10000;205500000;1,44;0
10000;206000000;1,447;0
10000;206500000;3,78;0
10000;207000000;1,427;0
10000;207500000;3,912;0
10000;208000000;1,491;0
10000;208500000;3,981;0
10000;209000000;1,503;0
10000;209500000;4,072;0
10000;210000000;1,536;0
10000;210500000;1,518;0
10000;211000000;1,5;0
10000;211500000;1,549;0,001
10000;212000000;1,486;0
10000;212500000;1,494;0
10000;213000000;1,493;0
10000;213500000;1,52;0
10000;214000000;1,52;0
10000;214500000;1,501;0
10000;215000000;1,521;0
10000;215500000;1,527;0
10000;216000000;1,537;0
10000;216500000;1,559;0
10000;217000000;1,561;0
10000;217500000;1,556;0
10000;218000000;1,542;0
10000;218500000;1,552;0,001
10000;219000000;1,552;0
10000;219500000;1,571;0
10000;220000000;4,021;0
10000;220500000;1,602;0
10000;221000000;1,588;0,001
10000;221500000;4,155;0
10000;222000000;4,136;0,001
10000;222500000;4,206;0,001
10000;223000000;1,559;0,001
10000;223500000;1,596;0
