PATTERN_LEN;SEQ_LEN;MATCH;MISMATCH;GAP_OPEN;GAP_EXTEND;MAX_VALUE;TIME
PARAMETR;MATCH;;;;;;
100;1000000;1;-1;-3;-1;80;43.811000
100;1000000;2;-1;-3;-1;170;43.471000
100;1000000;3;-1;-3;-1;260;43.446000
100;1000000;4;-1;-3;-1;350;43.593000
100;1000000;5;-1;-3;-1;440;43.263000
100;1000000;6;-1;-3;-1;530;43.286000
100;1000000;7;-1;-3;-1;620;43.719000
100;1000000;8;-1;-3;-1;710;44.061000
100;1000000;9;-1;-3;-1;800;44.354000
100;1000000;10;-1;-3;-1;890;44.485000
;;;;;;;
PARAMETR;MISMATCH;;;;;;
100;1000000;2;-1;-3;-1;170;44.357000
100;1000000;2;-2;-3;-1;160;44.241000
100;1000000;2;-3;-3;-1;150;43.897000
100;1000000;2;-4;-3;-1;140;43.931000
100;1000000;2;-5;-3;-1;140;44.129000
100;1000000;2;-6;-3;-1;140;44.143000
100;1000000;2;-7;-3;-1;140;44.127000
100;1000000;2;-8;-3;-1;140;44.188000
100;1000000;2;-9;-3;-1;140;43.903000
100;1000000;2;-10;-3;-1;140;43.863000
;;;;;;;
PARAMETR;GAP_OPEN;;;;;;
100;1000000;2;-1;-1;-1;170;44.426000
100;1000000;2;-1;-2;-1;170;44.857000
100;1000000;2;-1;-3;-1;170;43.527000
100;1000000;2;-1;-4;-1;170;44.006000
100;1000000;2;-1;-5;-1;170;44.172000
100;1000000;2;-1;-6;-1;170;44.085000
100;1000000;2;-1;-7;-1;170;44.109000
100;1000000;2;-1;-8;-1;170;43.865000
100;1000000;2;-1;-9;-1;170;43.834000
100;1000000;2;-1;-10;-1;170;43.688000
;;;;;;;
PARAMETR;GAP_EXTEND;;;;;;
100;1000000;2;-1;-3;0;170;44.204000
100;1000000;2;-1;-3;-1;170;43.742000
100;1000000;2;-1;-3;-2;170;43.961000
100;1000000;2;-1;-3;-3;170;43.836000
100;1000000;2;-1;-3;-4;170;43.961000
100;1000000;2;-1;-3;-5;170;45.457000
100;1000000;2;-1;-3;-6;170;44.349000
100;1000000;2;-1;-3;-7;170;43.977000
100;1000000;2;-1;-3;-8;170;44.146000
100;1000000;2;-1;-3;-9;170;44.141000
100;1000000;2;-1;-3;-10;170;44.181000
